"pop","gen","wing"
"Mareeba","G2",4.06721352061238
"Mareeba","G2",3.7235274687111
"Mareeba","G2",3.51741659290454
"Mareeba","G2",3.65115730724887
"Mareeba","G2",3.8573444380195
"Mareeba","G2",3.93211228753073
"Mareeba","G11",3.68230376813227
"Mareeba","G11",4.01942468814364
"Mareeba","G11",4.23501434674194
"Mareeba","G11",3.88514856903544
"Mareeba","G11",3.83364546525133
"Mareeba","G11",3.86480738651406
"Mareeba","G11",3.79836308400343
"Mareeba","G11",3.83239894977063
"Mareeba","G11",3.85443958462501
"Mareeba","G11",3.79960717094255
"Mareeba","G11",3.8733686676033
"Mareeba","G11",3.99574879356888
"Mareeba","G11",3.89188394467992
"Mareeba","G11",3.99880373364874
"Mareeba","G11",3.74199466590694
"Mareeba","G11",4.02465069503723
"Mareeba","G11",3.6690578239951
"Mareeba","G11",3.88435592393779
"Mareeba","G11",3.64192138228807
"Mareeba","G11",3.98945197886875
"Mareeba","G11",4.02356425006093
"Mareeba","G11",3.94476267491539
"Mareeba","G11",3.79840219183001
"Mareeba","G11",3.76682519878875
"Mareeba","G11",3.77772617667071
"Mareeba","G11",4.04925826451217
"Mareeba","G11",3.83285859215919
"Mareeba","G11",3.95124086981293
"Mareeba","G11",3.96080196773479
"Mareeba","G11",3.90905165534031
"Mareeba","G11",3.7995030488934
"Mareeba","G11",3.78991572291044
"Mareeba","G11",3.71104168690313
"Mareeba","G11",3.75688851560693
"Narrabri","G2",3.60642966726581
"Narrabri","G2",3.77777422589621
"Narrabri","G2",4.10336792469025
"Narrabri","G2",3.92239363403427
"Narrabri","G2",3.88712930745528
"Narrabri","G2",3.72383056646251
"Narrabri","G2",3.88109097919785
"Narrabri","G2",4.02228332726594
"Narrabri","G2",3.84653981380202
"Narrabri","G2",4.06173740163739
"Narrabri","G2",3.92664862123496
"Narrabri","G2",3.80046387672834
"Narrabri","G2",3.9135654717368
"Narrabri","G2",4.05938926749136
"Narrabri","G2",4.00998357213168
"Narrabri","G2",4.07580920335098
"Narrabri","G2",3.70686515517096
"Narrabri","G2",3.99823285835459
"Narrabri","G2",3.80561279158069
"Narrabri","G2",3.91625643324388
"Narrabri","G2",3.91804579874755
"Narrabri","G2",3.98770682446446
"Narrabri","G2",3.99145393934943
"Narrabri","G2",4.00144476405568
"Narrabri","G2",3.93306917253685
"Narrabri","G2",3.98367370525221
"Narrabri","G2",3.90533701012364
"Narrabri","G2",3.79283282998489
"Narrabri","G2",3.91385051950153
"Narrabri","G2",3.92035239054572
"Narrabri","G2",3.88340509912286
"Narrabri","G2",3.55272264016212
